ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
88,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT29,HVAC,Temperature Transmitter (PT100),3,,,,
89,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT30,HVAC,Temperature Transmitter (PT100),3,,,,
90,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT31,HVAC,Temperature Transmitter (PT100),3,,,,
91,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT32,HVAC,Temperature Transmitter (PT100),3,,,,
92,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT33,HVAC,Temperature Transmitter (PT100),3,,,,
93,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT34,HVAC,Temperature Transmitter (PT100),3,,,,
94,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT35,HVAC,Temperature Transmitter (PT100),3,,,,
95,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT39,-,Temperature Transmitter (PT100),2,,,,
96,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT40,-,Temperature Transmitter (PT100),2,,,,
97,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT41,-,Temperature Transmitter (PT100),2,,,,
98,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT42,-,Temperature Transmitter (PT100),2,,,,
99,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT43,-,Temperature Transmitter (PT100),2,,,,
100,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT44,-,Temperature Transmitter (PT100),2,,,,
101,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT45,-,Temperature Transmitter (PT100),2,,,,
102,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT46,-,Temperature Transmitter (PT100),2,,,,
103,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT47,-,Temperature Transmitter (PT100),2,,,,
104,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT48,-,Temperature Transmitter (PT100),2,,,,
105,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT49,-,Temperature Transmitter (PT100),2,,,,
106,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT50,-,Temperature Transmitter (PT100),2,,,,
107,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-BT51,-,Temperature Transmitter (PT100),2,,,,
